# Single IV
# 
# Measurement Settings:
# Power supply voltage limit:      2.10E+01 V
# Power supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Current [A]	Current Error [A]	Total Current[A]	
-7.00000E+02	-7.00015E+02	-4.91386E-05	7.71896E-10	-2.78690E-04
-7.10000E+02	-7.10003E+02	-4.97520E-05	1.31457E-09	-2.83753E-04
-7.20000E+02	-7.20006E+02	-5.03810E-05	1.92287E-09	-2.88820E-04
-7.30000E+02	-7.30013E+02	-5.10106E-05	9.53058E-10	-2.93989E-04
-7.40000E+02	-7.40000E+02	-5.16526E-05	8.30903E-10	-2.99050E-04
-7.50000E+02	-7.50008E+02	-5.23038E-05	7.70377E-10	-3.03985E-04
-7.60000E+02	-7.60014E+02	-5.29690E-05	2.60563E-09	-3.09375E-04
-7.70000E+02	-7.70002E+02	-5.36497E-05	2.52115E-09	-3.14543E-04
-7.80000E+02	-7.80008E+02	-5.43331E-05	1.63147E-09	-3.19772E-04
-7.90000E+02	-7.90013E+02	-5.50200E-05	1.44450E-09	-3.24923E-04
-8.00000E+02	-8.00000E+02	-5.57323E-05	4.81057E-10	-3.30185E-04
-8.10000E+02	-8.10005E+02	-5.64605E-05	3.03320E-09	-3.35818E-04
-8.20000E+02	-8.20013E+02	-5.72110E-05	1.28492E-09	-3.41507E-04
-8.30000E+02	-8.29999E+02	-5.79600E-05	2.11264E-09	-3.46815E-04
-8.40000E+02	-8.40002E+02	-5.87436E-05	2.94267E-09	-3.52667E-04
-8.50000E+02	-8.50005E+02	-5.95473E-05	8.82360E-10	-3.58389E-04
-8.60000E+02	-8.59991E+02	-6.03512E-05	6.48333E-10	-3.64282E-04
-8.70000E+02	-8.69991E+02	-6.11965E-05	2.75625E-09	-3.70323E-04
-8.80000E+02	-8.79994E+02	-6.20600E-05	1.70341E-09	-3.76365E-04
-8.90000E+02	-8.89980E+02	-6.29264E-05	2.75572E-09	-3.82508E-04
-9.00000E+02	-8.99982E+02	-6.38396E-05	2.18288E-09	-3.88983E-04
-9.10000E+02	-9.09987E+02	-6.47617E-05	2.50114E-09	-3.95529E-04
-9.20000E+02	-9.19975E+02	-6.57299E-05	1.38207E-09	-4.02100E-04
-9.30000E+02	-9.29981E+02	-6.67107E-05	2.28049E-09	-4.08907E-04
-9.40000E+02	-9.39988E+02	-6.77141E-05	1.46846E-09	-4.15683E-04
-9.50000E+02	-9.49990E+02	-6.87577E-05	3.46568E-09	-4.22801E-04
-9.60000E+02	-9.59978E+02	-6.98306E-05	3.41299E-09	-4.30073E-04
-9.70000E+02	-9.69984E+02	-7.09359E-05	2.32244E-09	-4.37502E-04
-9.80000E+02	-9.79992E+02	-7.20784E-05	3.14396E-09	-4.45114E-04
-9.90000E+02	-9.89977E+02	-7.32698E-05	3.46707E-09	-4.53150E-04
