[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Single CV Measurement
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Multiple measurements of IV over a longer period.
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Start date          : 2022/03/22 14:13:06
[14:13:06] [INFO ]  User                : silicon
[14:13:06] [INFO ]  Host                : HGC-PC
[14:13:06] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[14:13:06] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/log.txt
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:13:07] [INFO ]  Measurement Settings:
[14:13:07] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:13:07] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:13:07] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:13:07] [INFO ]  Voltage Delay:                       3.00 s
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:18:10] [INFO ]  -4.60E+02	-4.60E+02	1.00E+04	4.5437E-11	6.19E-15	7.76E+06	4.02E+04	-1.88E-04
[14:18:10] [INFO ]  -4.60E+02	-4.60E+02	1.00E+05	4.6090E-11	9.74E-16	3.09E+06	2.00E+03	-1.88E-04
[14:18:11] [INFO ]  -4.60E+02	-4.60E+02	1.00E+06	4.6044E-11	2.55E-15	2.35E+05	6.69E+02	-1.88E-04
[14:18:16] [INFO ]  -4.70E+02	-4.70E+02	1.00E+04	4.5439E-11	1.31E-14	7.77E+06	2.46E+04	-1.93E-04
[14:18:17] [INFO ]  -4.70E+02	-4.70E+02	1.00E+05	4.6090E-11	5.19E-16	3.09E+06	3.00E+03	-1.93E-04
[14:18:17] [INFO ]  -4.70E+02	-4.70E+02	1.00E+06	4.6043E-11	3.85E-15	2.35E+05	1.95E+03	-1.93E-04
[14:18:23] [INFO ]  -4.80E+02	-4.80E+02	1.00E+04	4.5440E-11	1.18E-14	7.78E+06	2.96E+04	-1.97E-04
[14:18:23] [INFO ]  -4.80E+02	-4.80E+02	1.00E+05	4.6089E-11	2.93E-16	3.09E+06	2.58E+03	-1.97E-04
[14:18:24] [INFO ]  -4.80E+02	-4.80E+02	1.00E+06	4.6042E-11	1.67E-15	2.35E+05	1.20E+03	-1.97E-04
[14:18:29] [INFO ]  -4.90E+02	-4.90E+02	1.00E+04	4.5444E-11	5.18E-15	7.77E+06	2.82E+04	-2.01E-04
[14:18:30] [INFO ]  -4.90E+02	-4.90E+02	1.00E+05	4.6089E-11	2.23E-16	3.09E+06	4.18E+03	-2.01E-04
[14:18:30] [INFO ]  -4.90E+02	-4.90E+02	1.00E+06	4.6044E-11	2.24E-15	2.35E+05	1.39E+03	-2.01E-04
[14:18:36] [INFO ]  -5.00E+02	-5.00E+02	1.00E+04	4.5445E-11	1.29E-14	7.77E+06	3.00E+04	-2.05E-04
[14:18:37] [INFO ]  -5.00E+02	-5.00E+02	1.00E+05	4.6089E-11	6.37E-16	3.09E+06	4.58E+03	-2.05E-04
[14:18:37] [INFO ]  -5.00E+02	-5.00E+02	1.00E+06	4.6046E-11	2.53E-15	2.36E+05	1.02E+03	-2.05E-04
[14:18:43] [INFO ]  -5.10E+02	-5.10E+02	1.00E+04	4.5454E-11	6.25E-15	7.74E+06	3.07E+04	-2.10E-04
[14:18:43] [INFO ]  -5.10E+02	-5.10E+02	1.00E+05	4.6089E-11	6.68E-16	3.08E+06	2.34E+03	-2.10E-04
[14:18:44] [INFO ]  -5.10E+02	-5.10E+02	1.00E+06	4.6044E-11	3.25E-15	2.35E+05	7.47E+02	-2.10E-04
[14:18:50] [INFO ]  -5.20E+02	-5.20E+02	1.00E+04	4.5456E-11	8.85E-15	7.75E+06	4.40E+04	-2.14E-04
[14:18:50] [INFO ]  -5.20E+02	-5.20E+02	1.00E+05	4.6089E-11	7.96E-16	3.08E+06	2.38E+03	-2.14E-04
[14:18:50] [INFO ]  -5.20E+02	-5.20E+02	1.00E+06	4.6041E-11	3.81E-15	2.35E+05	8.74E+02	-2.14E-04
[14:18:56] [INFO ]  -5.30E+02	-5.30E+02	1.00E+04	4.5449E-11	4.26E-15	7.75E+06	2.56E+04	-2.19E-04
[14:18:57] [INFO ]  -5.30E+02	-5.30E+02	1.00E+05	4.6089E-11	6.79E-16	3.09E+06	3.24E+03	-2.19E-04
[14:18:57] [INFO ]  -5.30E+02	-5.30E+02	1.00E+06	4.6041E-11	3.48E-15	2.35E+05	1.00E+03	-2.19E-04
[14:19:03] [INFO ]  -5.40E+02	-5.40E+02	1.00E+04	4.5459E-11	8.40E-15	7.76E+06	4.02E+04	-2.23E-04
[14:19:03] [INFO ]  -5.40E+02	-5.40E+02	1.00E+05	4.6088E-11	4.45E-16	3.09E+06	3.79E+03	-2.23E-04
[14:19:04] [INFO ]  -5.40E+02	-5.40E+02	1.00E+06	4.6042E-11	2.20E-15	2.34E+05	1.20E+03	-2.23E-04
[14:19:09] [INFO ]  -5.50E+02	-5.50E+02	1.00E+04	4.5449E-11	1.08E-14	7.73E+06	3.54E+04	-2.27E-04
[14:19:10] [INFO ]  -5.50E+02	-5.50E+02	1.00E+05	4.6089E-11	4.27E-16	3.09E+06	2.94E+03	-2.27E-04
[14:19:10] [INFO ]  -5.50E+02	-5.50E+02	1.00E+06	4.6042E-11	1.51E-15	2.36E+05	7.84E+02	-2.27E-04
[14:19:16] [INFO ]  -5.60E+02	-5.60E+02	1.00E+04	4.5462E-11	6.29E-15	7.74E+06	2.13E+04	-2.31E-04
[14:19:16] [INFO ]  -5.60E+02	-5.60E+02	1.00E+05	4.6089E-11	2.86E-16	3.09E+06	1.80E+03	-2.31E-04
[14:19:17] [INFO ]  -5.60E+02	-5.60E+02	1.00E+06	4.6043E-11	3.63E-15	2.35E+05	1.03E+03	-2.31E-04
[14:19:23] [INFO ]  -5.70E+02	-5.70E+02	1.00E+04	4.5446E-11	9.63E-15	7.74E+06	3.68E+04	-2.35E-04
[14:19:23] [INFO ]  -5.70E+02	-5.70E+02	1.00E+05	4.6088E-11	5.71E-16	3.08E+06	5.38E+03	-2.35E-04
[14:19:23] [INFO ]  -5.70E+02	-5.70E+02	1.00E+06	4.6047E-11	3.77E-15	2.35E+05	1.01E+03	-2.35E-04
[14:19:29] [INFO ]  -5.80E+02	-5.80E+02	1.00E+04	4.5456E-11	1.38E-14	7.70E+06	4.10E+04	-2.40E-04
[14:19:30] [INFO ]  -5.80E+02	-5.80E+02	1.00E+05	4.6088E-11	4.59E-16	3.08E+06	4.37E+03	-2.40E-04
[14:19:30] [INFO ]  -5.80E+02	-5.80E+02	1.00E+06	4.6045E-11	3.14E-15	2.35E+05	1.94E+03	-2.40E-04
[14:19:36] [INFO ]  -5.90E+02	-5.90E+02	1.00E+04	4.5454E-11	5.30E-15	7.69E+06	4.63E+04	-2.44E-04
[14:19:36] [INFO ]  -5.90E+02	-5.90E+02	1.00E+05	4.6089E-11	6.50E-16	3.09E+06	3.31E+03	-2.44E-04
[14:19:37] [INFO ]  -5.90E+02	-5.90E+02	1.00E+06	4.6042E-11	4.05E-15	2.35E+05	1.37E+03	-2.44E-04
[14:19:43] [INFO ]  -6.00E+02	-6.00E+02	1.00E+04	4.5454E-11	6.74E-15	7.73E+06	4.27E+04	-2.48E-04
[14:19:43] [INFO ]  -6.00E+02	-6.00E+02	1.00E+05	4.6089E-11	2.48E-16	3.09E+06	4.08E+03	-2.48E-04
[14:19:44] [INFO ]  -6.00E+02	-6.00E+02	1.00E+06	4.6043E-11	4.37E-15	2.35E+05	5.77E+02	-2.48E-04
[14:19:49] [INFO ]  -6.10E+02	-6.10E+02	1.00E+04	4.5451E-11	4.88E-15	7.70E+06	1.17E+04	-2.53E-04
[14:19:50] [INFO ]  -6.10E+02	-6.10E+02	1.00E+05	4.6089E-11	3.82E-16	3.08E+06	1.01E+03	-2.53E-04
[14:19:50] [INFO ]  -6.10E+02	-6.10E+02	1.00E+06	4.6044E-11	2.71E-15	2.35E+05	1.24E+03	-2.53E-04
[14:19:56] [INFO ]  -6.20E+02	-6.20E+02	1.00E+04	4.5453E-11	7.97E-15	7.67E+06	1.35E+04	-2.57E-04
[14:19:56] [INFO ]  -6.20E+02	-6.20E+02	1.00E+05	4.6088E-11	4.24E-16	3.09E+06	5.12E+03	-2.57E-04
[14:19:57] [INFO ]  -6.20E+02	-6.20E+02	1.00E+06	4.6044E-11	3.04E-15	2.35E+05	1.57E+03	-2.57E-04
[14:20:03] [INFO ]  -6.30E+02	-6.30E+02	1.00E+04	4.5451E-11	1.13E-14	7.69E+06	1.19E+04	-2.61E-04
[14:20:03] [INFO ]  -6.30E+02	-6.30E+02	1.00E+05	4.6088E-11	8.11E-16	3.08E+06	9.22E+02	-2.61E-04
[14:20:04] [INFO ]  -6.30E+02	-6.30E+02	1.00E+06	4.6041E-11	3.88E-15	2.35E+05	9.93E+02	-2.61E-04
[14:20:09] [INFO ]  -6.40E+02	-6.40E+02	1.00E+04	4.5450E-11	1.20E-14	7.66E+06	2.21E+04	-2.65E-04
[14:20:10] [INFO ]  -6.40E+02	-6.40E+02	1.00E+05	4.6089E-11	3.60E-16	3.09E+06	1.22E+03	-2.65E-04
[14:20:10] [INFO ]  -6.40E+02	-6.40E+02	1.00E+06	4.6043E-11	4.72E-15	2.35E+05	8.67E+02	-2.65E-04
[14:20:16] [INFO ]  -6.50E+02	-6.50E+02	1.00E+04	4.5451E-11	5.70E-15	7.70E+06	4.85E+04	-2.69E-04
[14:20:16] [INFO ]  -6.50E+02	-6.50E+02	1.00E+05	4.6088E-11	7.62E-16	3.08E+06	3.42E+03	-2.69E-04
[14:20:17] [INFO ]  -6.50E+02	-6.50E+02	1.00E+06	4.6043E-11	1.28E-15	2.35E+05	1.54E+03	-2.69E-04
[14:20:23] [INFO ]  -6.60E+02	-6.60E+02	1.00E+04	4.5453E-11	2.23E-14	7.69E+06	3.33E+04	-2.74E-04
[14:20:23] [INFO ]  -6.60E+02	-6.60E+02	1.00E+05	4.6088E-11	6.65E-16	3.09E+06	4.15E+03	-2.74E-04
[14:20:24] [INFO ]  -6.60E+02	-6.60E+02	1.00E+06	4.6044E-11	3.44E-15	2.36E+05	1.55E+03	-2.74E-04
[14:20:29] [INFO ]  -6.70E+02	-6.70E+02	1.00E+04	4.5454E-11	5.54E-15	7.68E+06	5.90E+04	-2.78E-04
[14:20:30] [INFO ]  -6.70E+02	-6.70E+02	1.00E+05	4.6088E-11	4.94E-16	3.08E+06	3.33E+03	-2.78E-04
[14:20:30] [INFO ]  -6.70E+02	-6.70E+02	1.00E+06	4.6043E-11	6.23E-15	2.35E+05	5.11E+02	-2.78E-04
[14:20:36] [INFO ]  -6.80E+02	-6.80E+02	1.00E+04	4.5449E-11	1.41E-14	7.67E+06	2.41E+04	-2.82E-04
[14:20:36] [INFO ]  -6.80E+02	-6.80E+02	1.00E+05	4.6089E-11	2.83E-16	3.09E+06	4.66E+03	-2.82E-04
[14:20:37] [INFO ]  -6.80E+02	-6.80E+02	1.00E+06	4.6042E-11	2.92E-15	2.36E+05	1.01E+03	-2.82E-04
[14:20:42] [INFO ]  -6.90E+02	-6.90E+02	1.00E+04	4.5451E-11	7.22E-15	7.67E+06	2.75E+04	-2.86E-04
[14:20:43] [INFO ]  -6.90E+02	-6.90E+02	1.00E+05	4.6089E-11	7.65E-16	3.08E+06	1.81E+03	-2.86E-04
[14:20:43] [INFO ]  -6.90E+02	-6.90E+02	1.00E+06	4.6046E-11	3.98E-15	2.34E+05	8.70E+02	-2.86E-04
[14:20:49] [INFO ]  -7.00E+02	-7.00E+02	1.00E+04	4.5452E-11	9.56E-15	7.67E+06	2.16E+04	-2.91E-04
[14:20:50] [INFO ]  -7.00E+02	-7.00E+02	1.00E+05	4.6089E-11	4.45E-16	3.09E+06	8.84E+02	-2.91E-04
[14:20:50] [INFO ]  -7.00E+02	-7.00E+02	1.00E+06	4.6041E-11	5.14E-15	2.35E+05	9.88E+02	-2.91E-04
[14:20:56] [INFO ]  -7.10E+02	-7.10E+02	1.00E+04	4.5451E-11	1.18E-14	7.66E+06	3.52E+04	-2.95E-04
[14:20:56] [INFO ]  -7.10E+02	-7.10E+02	1.00E+05	4.6088E-11	6.22E-16	3.09E+06	4.14E+03	-2.95E-04
[14:20:57] [INFO ]  -7.10E+02	-7.10E+02	1.00E+06	4.6042E-11	4.28E-15	2.36E+05	1.09E+03	-2.95E-04
[14:21:02] [INFO ]  -7.20E+02	-7.20E+02	1.00E+04	4.5448E-11	5.47E-15	7.67E+06	2.64E+04	-2.99E-04
[14:21:03] [INFO ]  -7.20E+02	-7.20E+02	1.00E+05	4.6088E-11	8.96E-16	3.09E+06	1.48E+03	-2.99E-04
[14:21:03] [INFO ]  -7.20E+02	-7.20E+02	1.00E+06	4.6043E-11	1.58E-15	2.35E+05	5.10E+02	-2.99E-04
[14:21:09] [INFO ]  -7.30E+02	-7.30E+02	1.00E+04	4.5448E-11	8.09E-15	7.65E+06	3.55E+04	-3.04E-04
[14:21:09] [INFO ]  -7.30E+02	-7.30E+02	1.00E+05	4.6088E-11	5.42E-16	3.08E+06	2.51E+03	-3.04E-04
[14:21:10] [INFO ]  -7.30E+02	-7.30E+02	1.00E+06	4.6046E-11	2.15E-15	2.35E+05	1.35E+03	-3.04E-04
[14:21:16] [INFO ]  -7.40E+02	-7.40E+02	1.00E+04	4.5459E-11	2.01E-15	7.63E+06	4.07E+04	-3.08E-04
[14:21:16] [INFO ]  -7.40E+02	-7.40E+02	1.00E+05	4.6087E-11	5.56E-16	3.08E+06	3.87E+03	-3.08E-04
[14:21:17] [INFO ]  -7.40E+02	-7.40E+02	1.00E+06	4.6043E-11	5.76E-15	2.35E+05	8.24E+02	-3.08E-04
[14:21:22] [INFO ]  -7.50E+02	-7.50E+02	1.00E+04	4.5458E-11	8.21E-15	7.67E+06	4.32E+04	-3.13E-04
[14:21:23] [INFO ]  -7.50E+02	-7.50E+02	1.00E+05	4.6088E-11	5.66E-16	3.09E+06	5.71E+03	-3.13E-04
[14:21:23] [INFO ]  -7.50E+02	-7.50E+02	1.00E+06	4.6042E-11	2.52E-15	2.35E+05	9.94E+02	-3.13E-04
[14:21:29] [INFO ]  -7.60E+02	-7.60E+02	1.00E+04	4.5459E-11	1.06E-14	7.64E+06	2.93E+04	-3.18E-04
[14:21:29] [INFO ]  -7.60E+02	-7.60E+02	1.00E+05	4.6088E-11	3.97E-16	3.08E+06	2.56E+03	-3.18E-04
[14:21:30] [INFO ]  -7.60E+02	-7.60E+02	1.00E+06	4.6040E-11	5.35E-15	2.35E+05	1.23E+03	-3.18E-04
[14:21:36] [INFO ]  -7.70E+02	-7.70E+02	1.00E+04	4.5464E-11	9.23E-15	7.61E+06	4.01E+04	-3.22E-04
[14:21:36] [INFO ]  -7.70E+02	-7.70E+02	1.00E+05	4.6088E-11	7.82E-16	3.09E+06	3.10E+03	-3.22E-04
[14:21:37] [INFO ]  -7.70E+02	-7.70E+02	1.00E+06	4.6041E-11	3.80E-15	2.35E+05	2.19E+03	-3.22E-04
[14:21:42] [INFO ]  -7.80E+02	-7.80E+02	1.00E+04	4.5446E-11	9.00E-15	7.61E+06	5.34E+04	-3.27E-04
[14:21:43] [INFO ]  -7.80E+02	-7.80E+02	1.00E+05	4.6087E-11	6.11E-16	3.08E+06	1.95E+03	-3.27E-04
[14:21:43] [INFO ]  -7.80E+02	-7.80E+02	1.00E+06	4.6042E-11	2.82E-15	2.35E+05	1.20E+03	-3.27E-04
[14:21:49] [INFO ]  -7.90E+02	-7.90E+02	1.00E+04	4.5445E-11	1.20E-14	7.58E+06	1.54E+04	-3.32E-04
[14:21:49] [INFO ]  -7.90E+02	-7.90E+02	1.00E+05	4.6087E-11	7.50E-16	3.08E+06	4.00E+03	-3.32E-04
[14:21:50] [INFO ]  -7.90E+02	-7.90E+02	1.00E+06	4.6041E-11	2.43E-15	2.35E+05	9.32E+02	-3.32E-04
[14:21:55] [INFO ]  -8.00E+02	-8.00E+02	1.00E+04	4.5447E-11	8.12E-15	7.57E+06	1.60E+04	-3.37E-04
[14:21:56] [INFO ]  -8.00E+02	-8.00E+02	1.00E+05	4.6088E-11	5.38E-16	3.08E+06	9.13E+02	-3.37E-04
[14:21:56] [INFO ]  -8.00E+02	-8.00E+02	1.00E+06	4.6048E-11	3.08E-15	2.35E+05	1.61E+03	-3.37E-04
[14:22:02] [INFO ]  -8.10E+02	-8.10E+02	1.00E+04	4.5450E-11	1.03E-14	7.58E+06	1.33E+04	-3.41E-04
[14:22:03] [INFO ]  -8.10E+02	-8.10E+02	1.00E+05	4.6087E-11	5.31E-16	3.08E+06	1.97E+03	-3.41E-04
[14:22:03] [INFO ]  -8.10E+02	-8.10E+02	1.00E+06	4.6045E-11	1.06E-15	2.35E+05	1.27E+03	-3.41E-04
[14:22:09] [INFO ]  -8.20E+02	-8.20E+02	1.00E+04	4.5448E-11	6.12E-15	7.57E+06	3.05E+04	-3.46E-04
[14:22:09] [INFO ]  -8.20E+02	-8.20E+02	1.00E+05	4.6087E-11	7.22E-16	3.07E+06	3.32E+03	-3.46E-04
[14:22:10] [INFO ]  -8.20E+02	-8.20E+02	1.00E+06	4.6043E-11	4.60E-15	2.36E+05	3.36E+02	-3.46E-04
[14:22:16] [INFO ]  -8.30E+02	-8.30E+02	1.00E+04	4.5457E-11	1.13E-14	7.56E+06	2.59E+04	-3.51E-04
[14:22:16] [INFO ]  -8.30E+02	-8.30E+02	1.00E+05	4.6088E-11	3.97E-16	3.08E+06	1.93E+03	-3.51E-04
[14:22:17] [INFO ]  -8.30E+02	-8.30E+02	1.00E+06	4.6043E-11	3.57E-15	2.36E+05	1.09E+03	-3.51E-04
[14:22:22] [INFO ]  -8.40E+02	-8.40E+02	1.00E+04	4.5444E-11	1.41E-14	7.53E+06	4.37E+04	-3.57E-04
[14:22:23] [INFO ]  -8.40E+02	-8.40E+02	1.00E+05	4.6088E-11	8.49E-16	3.08E+06	2.47E+03	-3.57E-04
[14:22:23] [INFO ]  -8.40E+02	-8.40E+02	1.00E+06	4.6042E-11	3.65E-15	2.35E+05	9.34E+02	-3.57E-04
[14:22:29] [INFO ]  -8.50E+02	-8.50E+02	1.00E+04	4.5459E-11	9.34E-15	7.54E+06	3.55E+04	-3.62E-04
[14:22:29] [INFO ]  -8.50E+02	-8.50E+02	1.00E+05	4.6088E-11	4.80E-16	3.07E+06	5.87E+03	-3.62E-04
[14:22:30] [INFO ]  -8.50E+02	-8.50E+02	1.00E+06	4.6042E-11	4.54E-15	2.36E+05	5.05E+02	-3.62E-04
[14:22:35] [INFO ]  -8.60E+02	-8.60E+02	1.00E+04	4.5446E-11	5.08E-15	7.52E+06	3.69E+04	-3.67E-04
[14:22:36] [INFO ]  -8.60E+02	-8.60E+02	1.00E+05	4.6087E-11	9.43E-16	3.07E+06	4.44E+03	-3.67E-04
[14:22:36] [INFO ]  -8.60E+02	-8.60E+02	1.00E+06	4.6044E-11	3.96E-15	2.36E+05	7.80E+02	-3.67E-04
[14:22:42] [INFO ]  -8.70E+02	-8.70E+02	1.00E+04	4.5449E-11	2.09E-14	7.50E+06	3.07E+04	-3.73E-04
[14:22:42] [INFO ]  -8.70E+02	-8.70E+02	1.00E+05	4.6087E-11	5.64E-16	3.07E+06	2.92E+03	-3.73E-04
[14:22:43] [INFO ]  -8.70E+02	-8.70E+02	1.00E+06	4.6043E-11	3.94E-15	2.36E+05	1.13E+03	-3.73E-04
[14:22:48] [INFO ]  -8.80E+02	-8.80E+02	1.00E+04	4.5454E-11	9.71E-15	7.45E+06	5.29E+04	-3.78E-04
[14:22:49] [INFO ]  -8.80E+02	-8.80E+02	1.00E+05	4.6088E-11	2.56E-16	3.07E+06	2.83E+03	-3.78E-04
[14:22:49] [INFO ]  -8.80E+02	-8.80E+02	1.00E+06	4.6043E-11	3.81E-15	2.35E+05	1.06E+03	-3.78E-04
[14:22:55] [INFO ]  -8.90E+02	-8.90E+02	1.00E+04	4.5440E-11	1.19E-14	7.52E+06	2.14E+04	-3.84E-04
[14:22:56] [INFO ]  -8.90E+02	-8.90E+02	1.00E+05	4.6087E-11	5.83E-16	3.06E+06	4.19E+03	-3.84E-04
[14:22:56] [INFO ]  -8.90E+02	-8.90E+02	1.00E+06	4.6043E-11	3.60E-15	2.36E+05	8.78E+02	-3.84E-04
[14:23:02] [INFO ]  -9.00E+02	-9.00E+02	1.00E+04	4.5443E-11	1.40E-14	7.47E+06	3.43E+04	-3.90E-04
[14:23:02] [INFO ]  -9.00E+02	-9.00E+02	1.00E+05	4.6086E-11	5.24E-16	3.06E+06	4.88E+03	-3.90E-04
[14:23:03] [INFO ]  -9.00E+02	-9.00E+02	1.00E+06	4.6043E-11	5.92E-15	2.35E+05	4.99E+02	-3.90E-04
[14:23:08] [INFO ]  -9.10E+02	-9.10E+02	1.00E+04	4.5429E-11	1.38E-14	7.43E+06	3.63E+04	-3.96E-04
[14:23:09] [INFO ]  -9.10E+02	-9.10E+02	1.00E+05	4.6087E-11	7.58E-16	3.06E+06	3.53E+03	-3.96E-04
[14:23:09] [INFO ]  -9.10E+02	-9.10E+02	1.00E+06	4.6043E-11	3.70E-15	2.36E+05	8.15E+02	-3.96E-04
[14:23:15] [INFO ]  -9.20E+02	-9.20E+02	1.00E+04	4.5450E-11	1.75E-14	7.44E+06	7.38E+04	-4.02E-04
[14:23:15] [INFO ]  -9.20E+02	-9.20E+02	1.00E+05	4.6087E-11	4.41E-16	3.06E+06	2.90E+03	-4.02E-04
[14:23:16] [INFO ]  -9.20E+02	-9.20E+02	1.00E+06	4.6043E-11	4.42E-15	2.35E+05	1.09E+03	-4.02E-04
[14:23:22] [INFO ]  -9.30E+02	-9.30E+02	1.00E+04	4.5427E-11	2.16E-14	7.51E+06	8.26E+04	-4.08E-04
[14:23:22] [INFO ]  -9.30E+02	-9.30E+02	1.00E+05	4.6086E-11	8.77E-16	3.06E+06	2.62E+03	-4.08E-04
[14:23:23] [INFO ]  -9.30E+02	-9.30E+02	1.00E+06	4.6043E-11	3.41E-15	2.36E+05	1.18E+03	-4.08E-04
[14:23:28] [INFO ]  -9.40E+02	-9.40E+02	1.00E+04	4.5452E-11	1.76E-14	7.40E+06	6.13E+04	-4.15E-04
[14:23:29] [INFO ]  -9.40E+02	-9.40E+02	1.00E+05	4.6087E-11	6.12E-16	3.05E+06	2.69E+03	-4.15E-04
[14:23:29] [INFO ]  -9.40E+02	-9.40E+02	1.00E+06	4.6042E-11	4.64E-15	2.36E+05	1.64E+03	-4.15E-04
[14:23:35] [INFO ]  -9.50E+02	-9.50E+02	1.00E+04	4.5452E-11	1.59E-14	7.42E+06	4.36E+04	-4.21E-04
[14:23:35] [INFO ]  -9.50E+02	-9.50E+02	1.00E+05	4.6087E-11	4.45E-16	3.06E+06	1.23E+03	-4.21E-04
[14:23:36] [INFO ]  -9.50E+02	-9.50E+02	1.00E+06	4.6043E-11	1.72E-15	2.36E+05	6.24E+02	-4.21E-04
[14:23:41] [INFO ]  -9.60E+02	-9.60E+02	1.00E+04	4.5448E-11	1.10E-14	7.39E+06	6.88E+04	-4.28E-04
[14:23:42] [INFO ]  -9.60E+02	-9.60E+02	1.00E+05	4.6088E-11	5.49E-16	3.05E+06	3.09E+03	-4.28E-04
[14:23:42] [INFO ]  -9.60E+02	-9.60E+02	1.00E+06	4.6044E-11	2.93E-15	2.36E+05	1.52E+03	-4.28E-04
[14:23:48] [INFO ]  -9.70E+02	-9.70E+02	1.00E+04	4.5442E-11	1.04E-14	7.42E+06	3.13E+04	-4.35E-04
[14:23:49] [INFO ]  -9.70E+02	-9.70E+02	1.00E+05	4.6087E-11	5.71E-16	3.05E+06	2.96E+03	-4.35E-04
[14:23:49] [INFO ]  -9.70E+02	-9.70E+02	1.00E+06	4.6042E-11	2.52E-15	2.35E+05	1.79E+03	-4.35E-04
[14:23:55] [INFO ]  -9.80E+02	-9.80E+02	1.00E+04	4.5438E-11	8.46E-15	7.34E+06	5.03E+04	-4.42E-04
[14:23:55] [INFO ]  -9.80E+02	-9.80E+02	1.00E+05	4.6087E-11	8.09E-16	3.05E+06	2.26E+03	-4.42E-04
[14:23:56] [INFO ]  -9.80E+02	-9.80E+02	1.00E+06	4.6043E-11	6.51E-15	2.35E+05	1.41E+03	-4.42E-04
[14:24:01] [INFO ]  -9.90E+02	-9.90E+02	1.00E+04	4.5423E-11	1.51E-14	7.32E+06	3.97E+04	-4.50E-04
[14:24:02] [INFO ]  -9.90E+02	-9.90E+02	1.00E+05	4.6087E-11	4.32E-16	3.05E+06	3.27E+03	-4.50E-04
[14:24:02] [INFO ]  -9.90E+02	-9.90E+02	1.00E+06	4.6044E-11	2.42E-15	2.36E+05	3.54E+02	-4.50E-04
[14:24:46] [INFO ]  

[14:24:46] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/cv_inter.dat
[14:24:46] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/cv_inter_HPK_ProtoA_300042_HD_UR_1.4E16.png
[14:24:46] [INFO ]  Saving output to file logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/iv_total_current_HPK_ProtoA_300042_HD_UR_1.4E16.png
[14:24:46] [INFO ]  

[14:24:46] [INFO ]  	
[14:24:46] [INFO ]  Cleaning up.
[14:24:46] [INFO ]  	
[14:24:46] [INFO ]  	
