[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Single CV Measurement
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Multiple measurements of IV over a longer period.
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Start date          : 2022/03/22 14:13:06
[14:13:06] [INFO ]  User                : silicon
[14:13:06] [INFO ]  Host                : HGC-PC
[14:13:06] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[14:13:06] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/log.txt
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:13:07] [INFO ]  Measurement Settings:
[14:13:07] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:13:07] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:13:07] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:13:07] [INFO ]  Voltage Delay:                       3.00 s
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:14:19] [INFO ]  -1.10E+02	-1.10E+02	1.00E+06	4.6045E-11	3.95E-15	2.32E+05	7.46E+02	-6.60E-05
[14:14:25] [INFO ]  -1.20E+02	-1.20E+02	1.00E+04	4.5510E-11	1.28E-14	6.81E+06	7.98E+04	-6.95E-05
[14:14:25] [INFO ]  -1.20E+02	-1.20E+02	1.00E+05	4.6100E-11	4.43E-16	2.72E+06	1.84E+03	-6.95E-05
[14:14:26] [INFO ]  -1.20E+02	-1.20E+02	1.00E+06	4.6040E-11	3.64E-15	2.33E+05	6.83E+02	-6.95E-05
[14:14:31] [INFO ]  -1.30E+02	-1.30E+02	1.00E+04	4.5510E-11	2.63E-14	6.98E+06	5.84E+04	-7.29E-05
[14:14:32] [INFO ]  -1.30E+02	-1.30E+02	1.00E+05	4.6099E-11	3.32E-16	2.74E+06	1.54E+03	-7.29E-05
[14:14:32] [INFO ]  -1.30E+02	-1.30E+02	1.00E+06	4.6042E-11	3.88E-15	2.31E+05	1.07E+03	-7.29E-05
[14:14:38] [INFO ]  -1.40E+02	-1.40E+02	1.00E+04	4.5505E-11	2.12E-14	7.02E+06	5.48E+04	-7.63E-05
[14:14:38] [INFO ]  -1.40E+02	-1.40E+02	1.00E+05	4.6099E-11	3.50E-16	2.76E+06	1.39E+03	-7.63E-05
[14:14:39] [INFO ]  -1.40E+02	-1.40E+02	1.00E+06	4.6043E-11	2.72E-15	2.34E+05	7.91E+02	-7.63E-05
[14:14:44] [INFO ]  -1.50E+02	-1.50E+02	1.00E+04	4.5519E-11	1.13E-14	7.05E+06	4.01E+04	-7.96E-05
[14:14:45] [INFO ]  -1.50E+02	-1.50E+02	1.00E+05	4.6098E-11	3.72E-16	2.78E+06	1.93E+03	-7.96E-05
[14:14:45] [INFO ]  -1.50E+02	-1.50E+02	1.00E+06	4.6044E-11	2.57E-15	2.33E+05	1.22E+03	-7.96E-05
[14:14:51] [INFO ]  -1.60E+02	-1.60E+02	1.00E+04	4.5518E-11	1.56E-14	7.19E+06	3.84E+04	-8.29E-05
[14:14:51] [INFO ]  -1.60E+02	-1.60E+02	1.00E+05	4.6098E-11	3.90E-16	2.80E+06	1.76E+03	-8.29E-05
[14:14:52] [INFO ]  -1.60E+02	-1.60E+02	1.00E+06	4.6041E-11	1.58E-15	2.33E+05	9.88E+02	-8.29E-05
[14:14:58] [INFO ]  -1.70E+02	-1.70E+02	1.00E+04	4.5510E-11	2.76E-14	7.28E+06	8.18E+04	-8.62E-05
[14:14:58] [INFO ]  -1.70E+02	-1.70E+02	1.00E+05	4.6097E-11	4.24E-16	2.81E+06	2.31E+03	-8.62E-05
[14:14:59] [INFO ]  -1.70E+02	-1.70E+02	1.00E+06	4.6042E-11	2.61E-15	2.34E+05	1.18E+03	-8.62E-05
[14:15:04] [INFO ]  -1.80E+02	-1.80E+02	1.00E+04	4.5487E-11	1.31E-14	7.41E+06	7.48E+04	-8.94E-05
[14:15:05] [INFO ]  -1.80E+02	-1.80E+02	1.00E+05	4.6097E-11	2.71E-16	2.83E+06	1.98E+03	-8.94E-05
[14:15:05] [INFO ]  -1.80E+02	-1.80E+02	1.00E+06	4.6042E-11	3.50E-15	2.33E+05	7.19E+02	-8.94E-05
[14:15:11] [INFO ]  -1.90E+02	-1.90E+02	1.00E+04	4.5508E-11	2.41E-14	7.44E+06	7.10E+04	-9.27E-05
[14:15:11] [INFO ]  -1.90E+02	-1.90E+02	1.00E+05	4.6096E-11	4.69E-16	2.84E+06	2.67E+03	-9.27E-05
[14:15:12] [INFO ]  -1.90E+02	-1.90E+02	1.00E+06	4.6040E-11	4.40E-15	2.33E+05	7.79E+02	-9.27E-05
[14:15:18] [INFO ]  -2.00E+02	-2.00E+02	1.00E+04	4.5484E-11	1.15E-14	7.49E+06	3.06E+04	-9.60E-05
[14:15:18] [INFO ]  -2.00E+02	-2.00E+02	1.00E+05	4.6096E-11	5.88E-16	2.85E+06	1.40E+03	-9.60E-05
[14:15:19] [INFO ]  -2.00E+02	-2.00E+02	1.00E+06	4.6042E-11	2.85E-15	2.33E+05	1.48E+03	-9.60E-05
