[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  
[15:02:01] [INFO ]  ------------------------------------------
[15:02:01] [INFO ]  Single CV Measurement
[15:02:01] [INFO ]  ------------------------------------------
[15:02:01] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  Start date          : 2022/03/22 15:02:01
[15:02:01] [INFO ]  User                : silicon
[15:02:01] [INFO ]  Host                : HGC-PC
[15:02:01] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[15:02:01] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_150201/log.txt
[15:02:01] [INFO ]  	
[15:02:01] [INFO ]  Initialising device.
[15:02:02] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[15:02:02] [INFO ]  Initialising device.
[15:02:02] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[15:02:02] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[15:02:02] [INFO ]  Power Supply current limit:      1.00E-03 A
[15:02:02] [INFO ]  LCR measurement voltage:         5.00E-01 V
[15:02:02] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[15:02:02] [INFO ]  Voltage Delay:                       3.00 s
[15:02:02] [INFO ]  	
[15:02:02] [INFO ]  	
[15:02:02] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[15:03:23] [INFO ]  -9.00E+01	-8.99E+01	1.00E+04	2.63E+04	1.75E+00	-2.48E+05	1.60E+00	6.420E-11	6.349E-11	-5.32E-05
[15:03:29] [INFO ]  -1.00E+02	-9.99E+01	5.00E+02	1.46E+06	2.73E+02	-2.34E+06	2.26E+02	1.361E-10	9.806E-11	-5.70E-05
[15:03:30] [INFO ]  -1.00E+02	-9.99E+01	1.00E+03	7.69E+05	3.15E+01	-1.55E+06	2.06E+01	1.028E-10	8.247E-11	-5.70E-05
[15:03:31] [INFO ]  -1.00E+02	-9.99E+01	1.00E+04	2.54E+04	6.71E-01	-2.48E+05	4.90E-01	6.415E-11	6.349E-11	-5.70E-05
[15:03:38] [INFO ]  -1.10E+02	-1.10E+02	5.00E+02	1.45E+06	2.87E+02	-2.42E+06	2.60E+02	1.313E-10	9.654E-11	-6.05E-05
[15:03:39] [INFO ]  -1.10E+02	-1.10E+02	1.00E+03	7.54E+05	2.18E+01	-1.58E+06	4.05E+01	1.004E-10	8.189E-11	-6.05E-05
[15:03:40] [INFO ]  -1.10E+02	-1.10E+02	1.00E+04	2.45E+04	9.68E-01	-2.48E+05	8.00E-01	6.411E-11	6.349E-11	-6.05E-05
[15:03:46] [INFO ]  -1.20E+02	-1.20E+02	5.00E+02	1.45E+06	3.49E+02	-2.51E+06	3.09E+02	1.271E-10	9.514E-11	-6.41E-05
[15:03:48] [INFO ]  -1.20E+02	-1.20E+02	1.00E+03	7.40E+05	2.89E+01	-1.62E+06	2.87E+01	9.831E-11	8.131E-11	-6.41E-05
[15:03:49] [INFO ]  -1.20E+02	-1.20E+02	1.00E+04	2.37E+04	9.89E-01	-2.48E+05	6.32E-01	6.406E-11	6.348E-11	-6.41E-05
[15:03:55] [INFO ]  -1.30E+02	-1.30E+02	5.00E+02	1.45E+06	2.34E+02	-2.58E+06	2.00E+02	1.234E-10	9.382E-11	-6.75E-05
[15:03:57] [INFO ]  -1.30E+02	-1.30E+02	1.00E+03	7.27E+05	2.27E+01	-1.65E+06	2.61E+01	9.643E-11	8.075E-11	-6.75E-05
[15:03:58] [INFO ]  -1.30E+02	-1.30E+02	1.00E+04	2.30E+04	2.65E-01	-2.49E+05	4.90E-01	6.402E-11	6.348E-11	-6.75E-05
[15:04:04] [INFO ]  -1.40E+02	-1.40E+02	5.00E+02	1.45E+06	2.66E+02	-2.65E+06	2.79E+02	1.202E-10	9.260E-11	-7.09E-05
[15:04:05] [INFO ]  -1.40E+02	-1.40E+02	1.00E+03	7.15E+05	3.12E+01	-1.68E+06	2.93E+01	9.474E-11	8.020E-11	-7.09E-05
[15:04:07] [INFO ]  -1.40E+02	-1.40E+02	1.00E+04	2.23E+04	1.11E+00	-2.49E+05	1.50E+00	6.398E-11	6.347E-11	-7.09E-05
[15:04:13] [INFO ]  -1.50E+02	-1.50E+02	5.00E+02	1.44E+06	2.31E+02	-2.71E+06	2.89E+02	1.173E-10	9.144E-11	-7.42E-05
[15:04:14] [INFO ]  -1.50E+02	-1.50E+02	1.00E+03	7.04E+05	4.11E+01	-1.71E+06	1.41E+01	9.323E-11	7.967E-11	-7.42E-05
[15:04:16] [INFO ]  -1.50E+02	-1.50E+02	1.00E+04	2.17E+04	9.37E-01	-2.49E+05	1.33E+00	6.394E-11	6.346E-11	-7.42E-05
[15:04:22] [INFO ]  -1.60E+02	-1.60E+02	5.00E+02	1.44E+06	2.34E+02	-2.78E+06	3.13E+02	1.147E-10	9.035E-11	-7.75E-05
[15:04:23] [INFO ]  -1.60E+02	-1.60E+02	1.00E+03	6.94E+05	5.09E+01	-1.73E+06	3.85E+01	9.185E-11	7.916E-11	-7.75E-05
[15:04:24] [INFO ]  -1.60E+02	-1.60E+02	1.00E+04	2.11E+04	1.68E+00	-2.49E+05	1.17E+00	6.390E-11	6.345E-11	-7.75E-05
[15:04:31] [INFO ]  -1.70E+02	-1.70E+02	5.00E+02	1.44E+06	2.46E+02	-2.83E+06	2.36E+02	1.124E-10	8.935E-11	-8.08E-05
[15:04:32] [INFO ]  -1.70E+02	-1.70E+02	1.00E+03	6.84E+05	2.53E+01	-1.76E+06	3.83E+01	9.059E-11	7.867E-11	-8.08E-05
[15:04:33] [INFO ]  -1.70E+02	-1.70E+02	1.00E+04	2.05E+04	9.74E-01	-2.49E+05	4.90E-01	6.386E-11	6.344E-11	-8.08E-05
[15:04:39] [INFO ]  -1.80E+02	-1.80E+02	5.00E+02	1.44E+06	2.63E+02	-2.89E+06	1.90E+02	1.103E-10	8.839E-11	-8.41E-05
[15:04:41] [INFO ]  -1.80E+02	-1.80E+02	1.00E+03	6.75E+05	1.63E+01	-1.78E+06	2.71E+01	8.944E-11	7.819E-11	-8.41E-05
[15:04:42] [INFO ]  -1.80E+02	-1.80E+02	1.00E+04	1.99E+04	1.55E+00	-2.49E+05	1.36E+00	6.383E-11	6.342E-11	-8.41E-05
[15:04:48] [INFO ]  -1.90E+02	-1.90E+02	5.00E+02	1.43E+06	2.94E+02	-2.94E+06	3.89E+02	1.084E-10	8.749E-11	-8.73E-05
[15:04:50] [INFO ]  -1.90E+02	-1.90E+02	1.00E+03	6.66E+05	4.49E+01	-1.80E+06	2.64E+01	8.837E-11	7.773E-11	-8.73E-05
[15:04:51] [INFO ]  -1.90E+02	-1.90E+02	1.00E+04	1.94E+04	1.13E+00	-2.49E+05	1.10E+00	6.380E-11	6.341E-11	-8.73E-05
[15:04:57] [INFO ]  -2.00E+02	-2.00E+02	5.00E+02	1.43E+06	4.39E+02	-2.99E+06	3.82E+02	1.066E-10	8.664E-11	-9.05E-05
[15:04:58] [INFO ]  -2.00E+02	-2.00E+02	1.00E+03	6.58E+05	2.56E+01	-1.82E+06	5.38E+01	8.739E-11	7.729E-11	-9.05E-05
[15:05:00] [INFO ]  -2.00E+02	-2.00E+02	1.00E+04	1.89E+04	5.88E-01	-2.50E+05	7.48E-01	6.376E-11	6.340E-11	-9.05E-05
[15:05:06] [INFO ]  -2.10E+02	-2.10E+02	5.00E+02	1.43E+06	2.43E+02	-3.03E+06	3.61E+02	1.050E-10	8.584E-11	-9.38E-05
[15:05:07] [INFO ]  -2.10E+02	-2.10E+02	1.00E+03	6.51E+05	4.71E+01	-1.84E+06	3.76E+01	8.648E-11	7.686E-11	-9.38E-05
[15:05:09] [INFO ]  -2.10E+02	-2.10E+02	1.00E+04	1.85E+04	9.22E-01	-2.50E+05	8.00E-01	6.373E-11	6.339E-11	-9.38E-05
[15:05:15] [INFO ]  -2.20E+02	-2.20E+02	5.00E+02	1.43E+06	4.60E+02	-3.07E+06	2.24E+02	1.035E-10	8.507E-11	-9.71E-05
[15:05:16] [INFO ]  -2.20E+02	-2.20E+02	1.00E+03	6.44E+05	1.81E+01	-1.86E+06	5.50E+01	8.562E-11	7.645E-11	-9.71E-05
[15:05:18] [INFO ]  -2.20E+02	-2.20E+02	1.00E+04	1.80E+04	1.62E+00	-2.50E+05	8.94E-01	6.370E-11	6.337E-11	-9.71E-05
