# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-1.10000E+02	-1.09935E+02	5.00000E+02	1.77867E+04	9.76449E+02	-7.29166E+06	7.38961E+02	4.36539E-11	4.36537E-11	-3.62290E-05
-1.10000E+02	-1.09935E+02	1.00000E+03	5.04820E+03	1.23904E+02	-3.64734E+06	1.72047E+01	4.36359E-11	4.36358E-11	-3.62290E-05
-1.10000E+02	-1.09935E+02	1.00000E+04	2.32355E+02	2.00795E+00	-3.65130E+05	1.01980E+00	4.35885E-11	4.35885E-11	-3.62290E-05
-1.20000E+02	-1.19922E+02	5.00000E+02	1.76389E+04	6.65895E+02	-7.29054E+06	7.91237E+02	4.36607E-11	4.36604E-11	-3.84738E-05
-1.20000E+02	-1.19922E+02	1.00000E+03	5.01230E+03	9.57617E+01	-3.64736E+06	6.01332E+01	4.36357E-11	4.36356E-11	-3.84738E-05
-1.20000E+02	-1.19922E+02	1.00000E+04	2.29692E+02	1.50961E+00	-3.65131E+05	1.01980E+00	4.35885E-11	4.35885E-11	-3.84738E-05
-1.30000E+02	-1.29931E+02	5.00000E+02	1.64648E+04	4.24741E+02	-7.29195E+06	4.37264E+02	4.36522E-11	4.36520E-11	-4.06955E-05
-1.30000E+02	-1.29931E+02	1.00000E+03	5.08082E+03	7.16724E+01	-3.64736E+06	8.58836E+01	4.36357E-11	4.36356E-11	-4.06955E-05
-1.30000E+02	-1.29931E+02	1.00000E+04	2.31379E+02	7.15699E-01	-3.65130E+05	7.48331E-01	4.35885E-11	4.35885E-11	-4.06955E-05
-1.40000E+02	-1.39939E+02	5.00000E+02	1.77543E+04	9.52843E+02	-7.29197E+06	6.52950E+02	4.36521E-11	4.36519E-11	-4.28950E-05
-1.40000E+02	-1.39939E+02	1.00000E+03	5.02934E+03	1.37693E+02	-3.64737E+06	1.53571E+02	4.36356E-11	4.36355E-11	-4.28950E-05
