[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Single CV Measurement
[14:44:30] [INFO ]  ------------------------------------------
[14:44:30] [INFO ]  Measurement of C-V curve for a single cell on the wafer.
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Start date          : 2022/03/22 14:44:30
[14:44:30] [INFO ]  User                : silicon
[14:44:30] [INFO ]  Host                : HGC-PC
[14:44:30] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:44:30] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/01_20220322_144430/log.txt
[14:44:30] [INFO ]  	
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:44:30] [INFO ]  Initialising device.
[14:44:30] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:44:31] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:44:31] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:44:31] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:44:31] [INFO ]  LCR measurement frequency:       1.00E+03 Hz
[14:44:31] [INFO ]  Voltage Delay:                       3.00 s
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  	
[14:44:31] [INFO ]  Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
[14:45:49] [INFO ]  -9.00E+01	-8.99E+01	1.00E+04	2.31E+02	8.02E-01	-3.65E+05	1.17E+00	4.359E-11	4.359E-11	-3.16E-05
[14:45:56] [INFO ]  -1.00E+02	-9.99E+01	5.00E+02	1.74E+04	4.25E+02	-7.29E+06	7.00E+02	4.365E-11	4.365E-11	-3.39E-05
[14:45:57] [INFO ]  -1.00E+02	-9.99E+01	1.00E+03	5.11E+03	7.81E+01	-3.65E+06	1.03E+02	4.364E-11	4.364E-11	-3.39E-05
[14:45:58] [INFO ]  -1.00E+02	-9.99E+01	1.00E+04	2.30E+02	1.05E+00	-3.65E+05	7.48E-01	4.359E-11	4.359E-11	-3.39E-05
[14:46:04] [INFO ]  -1.10E+02	-1.10E+02	5.00E+02	1.78E+04	9.76E+02	-7.29E+06	7.39E+02	4.365E-11	4.365E-11	-3.62E-05
[14:46:06] [INFO ]  -1.10E+02	-1.10E+02	1.00E+03	5.05E+03	1.24E+02	-3.65E+06	1.72E+01	4.364E-11	4.364E-11	-3.62E-05
[14:46:07] [INFO ]  -1.10E+02	-1.10E+02	1.00E+04	2.32E+02	2.01E+00	-3.65E+05	1.02E+00	4.359E-11	4.359E-11	-3.62E-05
[14:46:13] [INFO ]  -1.20E+02	-1.20E+02	5.00E+02	1.76E+04	6.66E+02	-7.29E+06	7.91E+02	4.366E-11	4.366E-11	-3.85E-05
[14:46:14] [INFO ]  -1.20E+02	-1.20E+02	1.00E+03	5.01E+03	9.58E+01	-3.65E+06	6.01E+01	4.364E-11	4.364E-11	-3.85E-05
[14:46:15] [INFO ]  -1.20E+02	-1.20E+02	1.00E+04	2.30E+02	1.51E+00	-3.65E+05	1.02E+00	4.359E-11	4.359E-11	-3.85E-05
[14:46:22] [INFO ]  -1.30E+02	-1.30E+02	5.00E+02	1.65E+04	4.25E+02	-7.29E+06	4.37E+02	4.365E-11	4.365E-11	-4.07E-05
[14:46:23] [INFO ]  -1.30E+02	-1.30E+02	1.00E+03	5.08E+03	7.17E+01	-3.65E+06	8.59E+01	4.364E-11	4.364E-11	-4.07E-05
[14:46:24] [INFO ]  -1.30E+02	-1.30E+02	1.00E+04	2.31E+02	7.16E-01	-3.65E+05	7.48E-01	4.359E-11	4.359E-11	-4.07E-05
[14:46:30] [INFO ]  -1.40E+02	-1.40E+02	5.00E+02	1.78E+04	9.53E+02	-7.29E+06	6.53E+02	4.365E-11	4.365E-11	-4.29E-05
[14:46:32] [INFO ]  -1.40E+02	-1.40E+02	1.00E+03	5.03E+03	1.38E+02	-3.65E+06	1.54E+02	4.364E-11	4.364E-11	-4.29E-05
[14:46:33] [INFO ]  -1.40E+02	-1.40E+02	1.00E+04	2.33E+02	2.37E+00	-3.65E+05	1.67E+00	4.359E-11	4.359E-11	-4.29E-05
[14:46:39] [INFO ]  -1.50E+02	-1.50E+02	5.00E+02	1.77E+04	9.47E+02	-7.29E+06	6.91E+02	4.366E-11	4.366E-11	-4.50E-05
[14:46:40] [INFO ]  -1.50E+02	-1.50E+02	1.00E+03	5.00E+03	1.03E+02	-3.65E+06	2.28E+01	4.364E-11	4.364E-11	-4.50E-05
[14:46:41] [INFO ]  -1.50E+02	-1.50E+02	1.00E+04	2.31E+02	8.65E-01	-3.65E+05	8.00E-01	4.359E-11	4.359E-11	-4.50E-05
[14:46:48] [INFO ]  -1.60E+02	-1.60E+02	5.00E+02	1.72E+04	6.42E+02	-7.29E+06	1.07E+03	4.366E-11	4.366E-11	-4.72E-05
[14:46:49] [INFO ]  -1.60E+02	-1.60E+02	1.00E+03	5.06E+03	1.37E+02	-3.65E+06	8.66E+01	4.364E-11	4.364E-11	-4.72E-05
[14:46:50] [INFO ]  -1.60E+02	-1.60E+02	1.00E+04	2.32E+02	1.58E+00	-3.65E+05	1.33E+00	4.359E-11	4.359E-11	-4.72E-05
[14:46:56] [INFO ]  -1.70E+02	-1.70E+02	5.00E+02	1.76E+04	3.50E+02	-7.29E+06	8.75E+02	4.366E-11	4.366E-11	-4.93E-05
[14:46:58] [INFO ]  -1.70E+02	-1.70E+02	1.00E+03	5.03E+03	3.17E+01	-3.65E+06	9.54E+01	4.364E-11	4.364E-11	-4.93E-05
[14:46:59] [INFO ]  -1.70E+02	-1.70E+02	1.00E+04	2.32E+02	1.35E+00	-3.65E+05	1.74E+00	4.359E-11	4.359E-11	-4.93E-05
[14:47:05] [INFO ]  -1.80E+02	-1.80E+02	5.00E+02	1.71E+04	5.54E+02	-7.29E+06	9.82E+02	4.366E-11	4.366E-11	-5.14E-05
[14:47:06] [INFO ]  -1.80E+02	-1.80E+02	1.00E+03	5.16E+03	1.05E+02	-3.65E+06	8.49E+01	4.364E-11	4.364E-11	-5.14E-05
[14:47:08] [INFO ]  -1.80E+02	-1.80E+02	1.00E+04	2.33E+02	1.51E+00	-3.65E+05	1.33E+00	4.359E-11	4.359E-11	-5.14E-05
[14:47:14] [INFO ]  -1.90E+02	-1.90E+02	5.00E+02	1.76E+04	1.01E+03	-7.29E+06	2.86E+02	4.366E-11	4.366E-11	-5.35E-05
[14:47:15] [INFO ]  -1.90E+02	-1.90E+02	1.00E+03	5.11E+03	1.02E+02	-3.65E+06	5.28E+01	4.364E-11	4.364E-11	-5.35E-05
[14:47:16] [INFO ]  -1.90E+02	-1.90E+02	1.00E+04	2.33E+02	1.90E+00	-3.65E+05	1.47E+00	4.359E-11	4.359E-11	-5.35E-05
[14:47:22] [INFO ]  -2.00E+02	-2.00E+02	5.00E+02	1.72E+04	8.73E+02	-7.29E+06	8.38E+02	4.366E-11	4.366E-11	-5.56E-05
[14:47:24] [INFO ]  -2.00E+02	-2.00E+02	1.00E+03	5.03E+03	4.16E+01	-3.65E+06	7.86E+01	4.364E-11	4.364E-11	-5.56E-05
[14:47:25] [INFO ]  -2.00E+02	-2.00E+02	1.00E+04	2.33E+02	1.56E+00	-3.65E+05	2.19E+00	4.359E-11	4.359E-11	-5.56E-05
[14:47:31] [INFO ]  -2.10E+02	-2.10E+02	5.00E+02	1.74E+04	1.13E+03	-7.29E+06	8.09E+02	4.365E-11	4.365E-11	-5.77E-05
[14:47:33] [INFO ]  -2.10E+02	-2.10E+02	1.00E+03	5.08E+03	9.27E+01	-3.65E+06	7.00E+01	4.364E-11	4.364E-11	-5.77E-05
[14:47:34] [INFO ]  -2.10E+02	-2.10E+02	1.00E+04	2.33E+02	8.62E-01	-3.65E+05	2.23E+00	4.359E-11	4.359E-11	-5.77E-05
[14:47:40] [INFO ]  -2.20E+02	-2.20E+02	5.00E+02	1.70E+04	7.67E+02	-7.29E+06	1.11E+03	4.366E-11	4.366E-11	-5.97E-05
[14:47:41] [INFO ]  -2.20E+02	-2.20E+02	1.00E+03	5.03E+03	6.99E+01	-3.65E+06	1.64E+02	4.364E-11	4.364E-11	-5.97E-05
[14:47:43] [INFO ]  -2.20E+02	-2.20E+02	1.00E+04	2.33E+02	1.50E+00	-3.65E+05	1.79E+00	4.359E-11	4.359E-11	-5.97E-05
[14:47:49] [INFO ]  -2.30E+02	-2.30E+02	5.00E+02	1.73E+04	1.08E+03	-7.29E+06	5.33E+02	4.366E-11	4.366E-11	-6.18E-05
[14:47:50] [INFO ]  -2.30E+02	-2.30E+02	1.00E+03	5.05E+03	9.57E+01	-3.65E+06	1.22E+02	4.364E-11	4.364E-11	-6.18E-05
