# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-1.30000E+02	-1.29930E+02	1.00000E+06	4.47358E-11	6.30555E-16	2.27335E+05	1.21794E+02	-4.31277E-05
-1.40000E+02	-1.39937E+02	1.00000E+04	4.42930E-11	1.43454E-14	3.45608E+07	1.13392E+06	-4.53415E-05
-1.40000E+02	-1.39937E+02	1.00000E+05	4.48276E-11	9.79796E-17	4.19248E+06	1.48553E+03	-4.53415E-05
-1.40000E+02	-1.39937E+02	1.00000E+06	4.47358E-11	6.72309E-16	2.27318E+05	5.97059E+01	-4.53415E-05
-1.50000E+02	-1.49928E+02	1.00000E+04	4.42944E-11	1.51297E-14	3.45238E+07	4.38344E+05	-4.75324E-05
-1.50000E+02	-1.49928E+02	1.00000E+05	4.48274E-11	2.63818E-16	4.19405E+06	1.19709E+03	-4.75324E-05
-1.50000E+02	-1.49928E+02	1.00000E+06	4.47358E-11	5.53534E-16	2.27434E+05	9.54392E+01	-4.75324E-05
-1.60000E+02	-1.59938E+02	1.00000E+04	4.42978E-11	1.01177E-14	3.43110E+07	6.43291E+05	-4.97166E-05
-1.60000E+02	-1.59938E+02	1.00000E+05	4.48275E-11	1.32665E-16	4.19433E+06	1.12433E+03	-4.97166E-05
-1.60000E+02	-1.59938E+02	1.00000E+06	4.47358E-11	6.80000E-16	2.27411E+05	1.51964E+02	-4.97166E-05
-1.70000E+02	-1.69945E+02	1.00000E+04	4.42882E-11	9.62405E-15	3.45972E+07	6.10909E+05	-5.18663E-05
-1.70000E+02	-1.69945E+02	1.00000E+05	4.48277E-11	4.89898E-17	4.19254E+06	1.84740E+03	-5.18663E-05
-1.70000E+02	-1.69945E+02	1.00000E+06	4.47360E-11	6.11228E-16	2.27395E+05	1.51401E+02	-5.18663E-05
-1.80000E+02	-1.79933E+02	1.00000E+04	4.42906E-11	7.70283E-15	3.47099E+07	2.50171E+05	-5.39958E-05
-1.80000E+02	-1.79933E+02	1.00000E+05	4.48275E-11	1.16619E-16	4.19273E+06	9.46011E+02	-5.39958E-05
-1.80000E+02	-1.79933E+02	1.00000E+06	4.47358E-11	6.18385E-16	2.27401E+05	1.41838E+02	-5.39958E-05
-1.90000E+02	-1.89939E+02	1.00000E+04	4.42982E-11	1.01685E-14	3.45199E+07	4.43104E+05	-5.61131E-05
-1.90000E+02	-1.89939E+02	1.00000E+05	4.48273E-11	1.85472E-16	4.19370E+06	7.86196E+02	-5.61131E-05
-1.90000E+02	-1.89939E+02	1.00000E+06	4.47359E-11	4.49889E-16	2.27398E+05	8.99836E+01	-5.61131E-05
-2.00000E+02	-1.99946E+02	1.00000E+04	4.42957E-11	2.14700E-15	3.46807E+07	5.55475E+05	-5.82176E-05
-2.00000E+02	-1.99946E+02	1.00000E+05	4.48275E-11	1.72047E-16	4.19481E+06	4.97369E+02	-5.82176E-05
-2.00000E+02	-1.99946E+02	1.00000E+06	4.47360E-11	3.76298E-16	2.27483E+05	5.35089E+01	-5.82176E-05
-2.10000E+02	-2.09936E+02	1.00000E+04	4.42968E-11	7.65517E-15	3.44597E+07	1.02967E+06	-6.03166E-05
-2.10000E+02	-2.09936E+02	1.00000E+05	4.48275E-11	1.60000E-16	4.19456E+06	1.15266E+03	-6.03166E-05
