[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Single CV Measurement
[14:27:35] [INFO ]  ------------------------------------------
[14:27:35] [INFO ]  Multiple measurements of IV over a longer period.
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Start date          : 2022/03/22 14:27:35
[14:27:35] [INFO ]  User                : silicon
[14:27:35] [INFO ]  Host                : HGC-PC
[14:27:35] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16_CV_open
[14:27:35] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16_CV_open/00_20220322_142735/log.txt
[14:27:35] [INFO ]  	
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:27:35] [INFO ]  Initialising device.
[14:27:35] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:27:36] [INFO ]  Measurement Settings:
[14:27:36] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:27:36] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:27:36] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:27:36] [INFO ]  Voltage Delay:                       3.00 s
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]  	
[14:27:36] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:28:48] [INFO ]  -1.10E+02	-1.10E+02	1.00E+05	4.4827E-11	1.02E-16	4.19E+06	6.49E+02	-3.86E-05
[14:28:48] [INFO ]  -1.10E+02	-1.10E+02	1.00E+06	4.4736E-11	5.28E-16	2.27E+05	1.50E+02	-3.86E-05
[14:28:54] [INFO ]  -1.20E+02	-1.20E+02	1.00E+04	4.4286E-11	1.10E-14	3.41E+07	3.02E+05	-4.09E-05
[14:28:55] [INFO ]  -1.20E+02	-1.20E+02	1.00E+05	4.4828E-11	7.48E-17	4.19E+06	4.96E+02	-4.09E-05
[14:28:55] [INFO ]  -1.20E+02	-1.20E+02	1.00E+06	4.4736E-11	7.00E-16	2.27E+05	9.69E+01	-4.09E-05
[14:29:01] [INFO ]  -1.30E+02	-1.30E+02	1.00E+04	4.4291E-11	9.05E-15	3.48E+07	1.41E+06	-4.31E-05
[14:29:01] [INFO ]  -1.30E+02	-1.30E+02	1.00E+05	4.4827E-11	8.94E-17	4.19E+06	1.11E+03	-4.31E-05
[14:29:02] [INFO ]  -1.30E+02	-1.30E+02	1.00E+06	4.4736E-11	6.31E-16	2.27E+05	1.22E+02	-4.31E-05
[14:29:08] [INFO ]  -1.40E+02	-1.40E+02	1.00E+04	4.4293E-11	1.43E-14	3.46E+07	1.13E+06	-4.53E-05
[14:29:08] [INFO ]  -1.40E+02	-1.40E+02	1.00E+05	4.4828E-11	9.80E-17	4.19E+06	1.49E+03	-4.53E-05
[14:29:09] [INFO ]  -1.40E+02	-1.40E+02	1.00E+06	4.4736E-11	6.72E-16	2.27E+05	5.97E+01	-4.53E-05
[14:29:14] [INFO ]  -1.50E+02	-1.50E+02	1.00E+04	4.4294E-11	1.51E-14	3.45E+07	4.38E+05	-4.75E-05
[14:29:15] [INFO ]  -1.50E+02	-1.50E+02	1.00E+05	4.4827E-11	2.64E-16	4.19E+06	1.20E+03	-4.75E-05
[14:29:15] [INFO ]  -1.50E+02	-1.50E+02	1.00E+06	4.4736E-11	5.54E-16	2.27E+05	9.54E+01	-4.75E-05
[14:29:21] [INFO ]  -1.60E+02	-1.60E+02	1.00E+04	4.4298E-11	1.01E-14	3.43E+07	6.43E+05	-4.97E-05
[14:29:22] [INFO ]  -1.60E+02	-1.60E+02	1.00E+05	4.4828E-11	1.33E-16	4.19E+06	1.12E+03	-4.97E-05
[14:29:22] [INFO ]  -1.60E+02	-1.60E+02	1.00E+06	4.4736E-11	6.80E-16	2.27E+05	1.52E+02	-4.97E-05
[14:29:28] [INFO ]  -1.70E+02	-1.70E+02	1.00E+04	4.4288E-11	9.62E-15	3.46E+07	6.11E+05	-5.19E-05
[14:29:28] [INFO ]  -1.70E+02	-1.70E+02	1.00E+05	4.4828E-11	4.90E-17	4.19E+06	1.85E+03	-5.19E-05
[14:29:29] [INFO ]  -1.70E+02	-1.70E+02	1.00E+06	4.4736E-11	6.11E-16	2.27E+05	1.51E+02	-5.19E-05
[14:29:35] [INFO ]  -1.80E+02	-1.80E+02	1.00E+04	4.4291E-11	7.70E-15	3.47E+07	2.50E+05	-5.40E-05
[14:29:35] [INFO ]  -1.80E+02	-1.80E+02	1.00E+05	4.4827E-11	1.17E-16	4.19E+06	9.46E+02	-5.40E-05
[14:29:36] [INFO ]  -1.80E+02	-1.80E+02	1.00E+06	4.4736E-11	6.18E-16	2.27E+05	1.42E+02	-5.40E-05
[14:29:41] [INFO ]  -1.90E+02	-1.90E+02	1.00E+04	4.4298E-11	1.02E-14	3.45E+07	4.43E+05	-5.61E-05
[14:29:42] [INFO ]  -1.90E+02	-1.90E+02	1.00E+05	4.4827E-11	1.85E-16	4.19E+06	7.86E+02	-5.61E-05
[14:29:42] [INFO ]  -1.90E+02	-1.90E+02	1.00E+06	4.4736E-11	4.50E-16	2.27E+05	9.00E+01	-5.61E-05
[14:29:48] [INFO ]  -2.00E+02	-2.00E+02	1.00E+04	4.4296E-11	2.15E-15	3.47E+07	5.55E+05	-5.82E-05
[14:29:48] [INFO ]  -2.00E+02	-2.00E+02	1.00E+05	4.4827E-11	1.72E-16	4.19E+06	4.97E+02	-5.82E-05
