# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-4.00000E+01	3.49997E+00	8.11792E-06	1.14351E-10	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.00015E+00	8.18737E-06	7.64373E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.50004E+00	8.25513E-06	2.17460E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-4.00000E+01	4.99993E+00	8.32152E-06	6.04281E-11	7.12167E+06	7.05412E+06	3.33982E+04	1.99958E+05	-3.41918E-05
-5.00000E+01	3.97282E-07	8.64107E-06	1.11539E-10	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	4.99980E-01	8.71331E-06	2.85929E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	9.99995E-01	8.78428E-06	7.37759E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	1.49997E+00	8.85699E-06	5.15773E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	1.99999E+00	8.92689E-06	4.38660E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	2.50004E+00	8.99610E-06	2.14838E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	2.99993E+00	9.06413E-06	4.71475E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	3.49994E+00	9.13173E-06	5.00755E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	4.00017E+00	9.19765E-06	5.04579E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	4.50002E+00	9.26162E-06	2.52499E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-5.00000E+01	4.99992E+00	9.32514E-06	2.17409E-11	7.42702E+06	7.35485E+06	5.38176E+04	2.18409E+05	-3.88762E-05
-6.00000E+01	5.67845E-07	9.58866E-06	8.33946E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	4.99980E-01	9.65943E-06	1.70489E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	9.99992E-01	9.72919E-06	8.12445E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	1.49997E+00	9.79895E-06	4.65045E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	1.99998E+00	9.86743E-06	5.26392E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	2.50004E+00	9.93656E-06	2.10149E-10	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	2.99992E+00	1.00024E-05	3.55903E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	3.49993E+00	1.00670E-05	3.09121E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	4.00017E+00	1.01316E-05	2.00721E-10	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	4.50001E+00	1.01954E-05	4.54606E-11	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
-6.00000E+01	4.99991E+00	1.02581E-05	1.05304E-10	7.36480E+06	7.51703E+06	2.36357E+04	6.39342E+04	-4.32577E-05
